pid,name,season,team,fol,tpa
4,Mahmoud Abdul-Rauf,2000-01,Memphis Grizzlies,4,8
5,Tariq Abdul-Wahad,1998-99,Sacramento Kings,7,17
5,Tariq Abdul-Wahad,1999-00,Denver Nuggets,2,1
5,Tariq Abdul-Wahad,1999-00,Orlando Magic,1,14
5,Tariq Abdul-Wahad,2000-01,Denver Nuggets,0,7
5,Tariq Abdul-Wahad,2001-02,Denver Nuggets,0,2
5,Tariq Abdul-Wahad,2002-03,Dallas Mavericks,0,2
6,Shareef Abdur-Rahim,1998-99,Memphis Grizzlies,3,12
6,Shareef Abdur-Rahim,1999-00,Memphis Grizzlies,1,56
6,Shareef Abdur-Rahim,2000-01,Memphis Grizzlies,2,38
6,Shareef Abdur-Rahim,2001-02,Atlanta Hawks,2,47
6,Shareef Abdur-Rahim,2002-03,Atlanta Hawks,1,36
6,Shareef Abdur-Rahim,2003-04,Atlanta Hawks,1,18
6,Shareef Abdur-Rahim,2003-04,Portland Trail Blazers,1,8
6,Shareef Abdur-Rahim,2004-05,Portland Trail Blazers,1,32
6,Shareef Abdur-Rahim,2005-06,Sacramento Kings,2,16
6,Shareef Abdur-Rahim,2006-07,Sacramento Kings,1,17
10,Alex Abrines,2016-17,Oklahoma City Thunder,5,190
10,Alex Abrines,2017-18,Oklahoma City Thunder,1,139
10,Alex Abrines,2018-19,Oklahoma City Thunder,0,83
11,Alex Acker,2008-09,Los Angeles Clippers,1,10
11,Alex Acker,2008-09,Detroit Pistons,0,4
15,Quincy Acy,2012-13,Toronto Raptors,0,1
15,Quincy Acy,2013-14,Sacramento Kings,1,8
15,Quincy Acy,2013-14,Toronto Raptors,0,4
15,Quincy Acy,2014-15,New York Knicks,0,38
15,Quincy Acy,2015-16,Sacramento Kings,0,40
15,Quincy Acy,2016-17,Dallas Mavericks,0,7
15,Quincy Acy,2016-17,Brooklyn Nets,0,64
15,Quincy Acy,2017-18,Brooklyn Nets,0,202
15,Quincy Acy,2018-19,Phoenix Suns,0,6
18,Hassan Adams,2006-07,Brooklyn Nets,0,1
19,Jaylen Adams,2018-19,Atlanta Hawks,0,49
20,Jordan Adams,2014-15,Memphis Grizzlies,0,16
20,Jordan Adams,2015-16,Memphis Grizzlies,0,1
24,Bam Adebayo,2017-18,Miami Heat,0,1
24,Bam Adebayo,2018-19,Miami Heat,0,9
25,Deng Adel,2018-19,Cleveland Cavaliers,0,10
27,Jeff Adrien,2012-13,Charlotte Hornets,0,1
28,Arron Afflalo,2007-08,Detroit Pistons,2,27
28,Arron Afflalo,2008-09,Detroit Pistons,1,72
28,Arron Afflalo,2009-10,Denver Nuggets,10,186
28,Arron Afflalo,2010-11,Denver Nuggets,2,174
28,Arron Afflalo,2011-12,Denver Nuggets,9,183
28,Arron Afflalo,2012-13,Orlando Magic,7,186
28,Arron Afflalo,2013-14,Orlando Magic,7,239
28,Arron Afflalo,2014-15,Denver Nuggets,3,176
28,Arron Afflalo,2014-15,Portland Trail Blazers,2,62
28,Arron Afflalo,2015-16,New York Knicks,6,160
28,Arron Afflalo,2016-17,Sacramento Kings,7,105
28,Arron Afflalo,2017-18,Orlando Magic,2,46
29,Maurice Ager,2006-07,Dallas Mavericks,0,15
29,Maurice Ager,2007-08,Dallas Mavericks,0,7
29,Maurice Ager,2007-08,Brooklyn Nets,1,5
29,Maurice Ager,2008-09,Brooklyn Nets,0,5
29,Maurice Ager,2010-11,Minnesota Timberwolves,0,2
31,Blake Ahearn,2007-08,Miami Heat,0,26
31,Blake Ahearn,2008-09,San Antonio Spurs,0,2
31,Blake Ahearn,2011-12,Utah Jazz,1,7
33,Alexis Ajinca,2010-11,Dallas Mavericks,0,5
33,Alexis Ajinca,2010-11,Toronto Raptors,0,19
33,Alexis Ajinca,2016-17,New Orleans Pelicans,0,4
35,Josh Akognon,2012-13,Dallas Mavericks,0,1
36,DeVaughn Akoon-Purcell,2018-19,Denver Nuggets,0,2
40,Furkan Aldemir,2014-15,Philadelphia 76ers,0,4
42,LaMarcus Aldridge,2006-07,Portland Trail Blazers,0,1
42,LaMarcus Aldridge,2007-08,Portland Trail Blazers,0,3
42,LaMarcus Aldridge,2008-09,Portland Trail Blazers,2,16
42,LaMarcus Aldridge,2009-10,Portland Trail Blazers,1,11
