name,frequency,games
Sprained Ankle,1520,6.41
Sore Knee,809,6.52
Sore Back,566,4.51
Strained Hamstring,529,8.3
Strained Calf,454,8.48
Sore Ankle,375,4.44
Strained Groin,354,5.44
Sore Foot,305,6.31
Sore Hip,302,5.57
Bruised Knee,261,6.16
Sprained Knee,248,11.73
Concussion,198,4.19
Sore Achilles,182,4.44
Back Spasms,168,3.9
Bruised Hip,160,3.42
Sore Shoulder,150,6.89
Bruised Quadriceps,145,3.97
Patellar Tendinitis,145,5.61
Sprained Toe,130,7
Sprained Foot,120,6.9
Bruised Leg,116,3.78
Sprained Wrist,114,7.78
Bruised Back,111,5.18
Sprained Thumb,103,5.65
Sprained Shoulder,89,7.89
Plantar Fasciitis,86,6.28
Fractured Hand,83,14.75
Bruised Foot,79,6.7
Fractured Finger,68,10.94
Sore Quadriceps,62,4.38
Bruised Hand,50,3.95
Fractured Nose,50,6.25
Strained Quadriceps,50,7.66
Bruised Shoulder,48,6.92
Sore Elbow,43,6.8
Strained Abdomen,43,9.51
Torn ACL,43,111
Sprained Elbow,41,7.67
Sore Wrist,41,6.76
Fractured Ankle,39,27.06
Fractured Foot,39,33.9
Strained Neck,39,6.63
Sore Toe,39,2.49
Torn Meniscus,39,29.03
Sore Hand,37,3.6
Sprained Hand,36,7.08
Strained Oblique,36,7.92
Rib Contusion,32,3.67
Sprained Finger,32,7.92
Torn Achilles Tendon,23,111
Sore Neck,22,5.31
Bruised Eye,18,1.35
Fractured Rib,18,9.53
Herniated Disc,18,18.82
Sore Thumb,18,5.4
Bruised Elbow,16,1.99
Ankle Contusion,14,5.59
Fractured Toe,9,12.28
