name,frequency,games
Sprained Ankle,1808,3.46
Patellar Tendinitis,1493,6.95
Back Spasms,999,3.94
Strained Hamstring,413,4.42
Strained Groin,394,3.59
Sprained Knee,392,11.15
Plantar Fasciitis,362,5.64
Bruised Quadriceps,338,1.41
Bruised Knee,321,2.15
Sprained Finger,308,1.09
Strained Calf,259,8.02
Bruised Leg,227,1.39
Bruised Hip,218,1.14
Sprained Foot,207,4.18
Achilles Tendinitis,204,5.09
Sprained Thumb,196,4.14
Sprained Wrist,181,4.7
Lacerated Eyelid,172,0.3
Sprained Shoulder,158,7.35
Strained Neck,124,1.21
Herniated Disc,110,19.55
Bruised Back,109,1.55
Bruised Foot,107,2.38
Fractured Foot,106,20.46
Strained Foot,102,2.96
Torn Meniscus,102,23.74
Strained Quadriceps,101,3.09
Fractured Hand,100,14.7
Fractured Tooth,90,0.23
Rotator Cuff Tendinitis,89,3.4
Strained Hip Flexor,87,3.4
Elbow Tendinitis,84,2.42
Bruised Shoulder,75,0.83
Concussion,73,3.01
Fractured Nose,73,1.26
Bruised Elbow,72,0.89
Strained Rotator Cuff,70,3.87
Bruised Hand,69,0.45
Sprained Elbow,64,1.92
Bruised Eye,60,0.32
Strained Abdomen,59,5.8
Strained Shoulder,57,1.18
Fractured Finger,52,8.79
Strained Patellar Tendon,48,9.46
Peroneal Tendinitis,45,7.36
Fractured Thumb,40,8.28
Torn ACL,40,100
Fractured Ankle,24,22
Torn Achilles Tendon,10,100
